repeat,sample_index,subset
1,3,test
1,14,test
1,16,test
1,17,test
1,40,test
1,42,test
1,46,test
1,50,test
1,57,test
1,59,test
1,62,test
1,63,test
1,66,test
1,71,test
1,74,test
1,85,test
1,94,test
1,99,test
1,101,test
1,103,test
1,104,test
1,107,test
1,112,test
1,113,test
1,117,test
1,118,test
1,121,test
1,125,test
1,130,test
1,134,test
1,138,test
1,143,test
1,147,test
1,155,test
1,158,test
1,161,test
1,169,test
1,170,test
1,171,test
1,177,test
1,195,test
1,197,test
1,198,test
1,210,test
1,214,test
1,215,test
1,223,test
1,239,test
1,246,test
1,250,test
1,252,test
1,263,test
1,267,test
1,268,test
1,274,test
1,276,test
1,279,test
1,290,test
1,292,test
1,293,test
1,294,test
1,295,test
1,299,test
1,301,test
1,302,test
1,303,test
1,304,test
1,320,test
1,326,test
1,336,test
1,339,test
1,0,train
1,1,train
1,2,train
1,4,train
1,5,train
1,6,train
1,7,train
1,8,train
1,9,train
1,10,train
1,11,train
1,12,train
1,13,train
1,15,train
1,18,train
1,19,train
1,20,train
1,21,train
1,22,train
1,23,train
1,24,train
1,25,train
1,26,train
1,27,train
1,28,train
1,29,train
1,30,train
1,31,train
1,32,train
1,33,train
1,34,train
1,35,train
1,36,train
1,37,train
1,38,train
1,39,train
1,41,train
1,43,train
1,44,train
1,45,train
1,47,train
1,48,train
1,49,train
1,51,train
1,52,train
1,53,train
1,54,train
1,55,train
1,56,train
1,58,train
1,60,train
1,61,train
1,64,train
1,65,train
1,67,train
1,68,train
1,69,train
1,70,train
1,72,train
1,73,train
1,75,train
1,76,train
1,77,train
1,78,train
1,79,train
1,80,train
1,81,train
1,82,train
1,83,train
1,84,train
1,86,train
1,87,train
1,88,train
1,89,train
1,90,train
1,91,train
1,92,train
1,93,train
1,95,train
1,96,train
1,97,train
1,98,train
1,100,train
1,102,train
1,105,train
1,106,train
1,108,train
1,109,train
1,110,train
1,111,train
1,114,train
1,115,train
1,116,train
1,119,train
1,120,train
1,122,train
1,123,train
1,124,train
1,126,train
1,127,train
1,128,train
1,129,train
1,131,train
1,132,train
1,133,train
1,135,train
1,136,train
1,137,train
1,139,train
1,140,train
1,141,train
1,142,train
1,144,train
1,145,train
1,146,train
1,148,train
1,149,train
1,150,train
1,151,train
1,152,train
1,153,train
1,154,train
1,156,train
1,157,train
1,159,train
1,160,train
1,162,train
1,163,train
1,164,train
1,165,train
1,166,train
1,167,train
1,168,train
1,172,train
1,173,train
1,174,train
1,175,train
1,176,train
1,178,train
1,179,train
1,180,train
1,181,train
1,182,train
1,183,train
1,184,train
1,185,train
1,186,train
1,187,train
1,188,train
1,189,train
1,190,train
1,191,train
1,192,train
1,193,train
1,194,train
1,196,train
1,199,train
1,200,train
1,201,train
1,202,train
1,203,train
1,204,train
1,205,train
1,206,train
1,207,train
1,208,train
1,209,train
1,211,train
1,212,train
1,213,train
1,216,train
1,217,train
1,218,train
1,219,train
1,220,train
1,221,train
1,222,train
1,224,train
1,225,train
1,226,train
1,227,train
1,228,train
1,229,train
1,230,train
1,231,train
1,232,train
1,233,train
1,234,train
1,235,train
1,236,train
1,237,train
1,238,train
1,240,train
1,241,train
1,242,train
1,243,train
1,244,train
1,245,train
1,247,train
1,248,train
1,249,train
1,251,train
1,253,train
1,254,train
1,255,train
1,256,train
1,257,train
1,258,train
1,259,train
1,260,train
1,261,train
1,262,train
1,264,train
1,265,train
1,266,train
1,269,train
1,270,train
1,271,train
1,272,train
1,273,train
1,275,train
1,277,train
1,278,train
1,280,train
1,281,train
1,282,train
1,283,train
1,284,train
1,285,train
1,286,train
1,287,train
1,288,train
1,289,train
1,291,train
1,296,train
1,297,train
1,298,train
1,300,train
1,305,train
1,306,train
1,307,train
1,308,train
1,309,train
1,310,train
1,311,train
1,312,train
1,313,train
1,314,train
1,315,train
1,316,train
1,317,train
1,318,train
1,319,train
1,321,train
1,322,train
1,323,train
1,324,train
1,325,train
1,327,train
1,328,train
1,329,train
1,330,train
