repeat,sample_index,subset
1,0,test
1,1,test
1,8,test
1,11,test
1,15,test
1,18,test
1,20,test
1,22,test
1,27,test
1,28,test
1,29,test
1,41,test
1,43,test
1,45,test
1,57,test
1,70,test
1,81,test
1,84,test
1,86,test
1,91,test
1,96,test
1,2,train
1,3,train
1,4,train
1,5,train
1,6,train
1,7,train
1,9,train
1,10,train
1,12,train
1,13,train
1,14,train
1,16,train
1,17,train
1,19,train
1,21,train
1,23,train
1,24,train
1,25,train
1,26,train
1,30,train
1,31,train
1,32,train
1,33,train
1,34,train
1,35,train
1,36,train
1,37,train
1,38,train
1,39,train
1,40,train
1,42,train
1,44,train
1,46,train
1,47,train
1,48,train
1,49,train
1,50,train
1,51,train
1,52,train
1,53,train
1,54,train
1,55,train
1,56,train
1,58,train
1,59,train
1,60,train
1,61,train
1,62,train
1,63,train
1,64,train
1,65,train
1,66,train
1,67,train
1,68,train
1,69,train
1,71,train
1,72,train
1,73,train
1,74,train
1,75,train
1,76,train
1,77,train
1,78,train
1,79,train
1,80,train
1,82,train
1,83,train
1,85,train
1,87,train
1,88,train
1,89,train
1,90,train
1,92,train
1,93,train
1,94,train
1,95,train
1,97,train
1,98,train
1,99,train
1,100,train
1,101,train
1,102,train
1,103,train
2,0,test
2,4,test
2,5,test
2,11,test
2,25,test
2,32,test
2,33,test
2,34,test
2,39,test
2,44,test
2,48,test
2,54,test
2,55,test
2,59,test
2,62,test
2,64,test
2,65,test
2,72,test
2,78,test
2,89,test
2,93,test
2,1,train
2,2,train
2,3,train
2,6,train
2,7,train
2,8,train
2,9,train
2,10,train
2,12,train
2,13,train
2,14,train
2,15,train
2,16,train
2,17,train
2,18,train
2,19,train
2,20,train
2,21,train
2,22,train
2,23,train
2,24,train
2,26,train
2,27,train
2,28,train
2,29,train
2,30,train
2,31,train
2,35,train
2,36,train
2,37,train
2,38,train
2,40,train
2,41,train
2,42,train
2,43,train
2,45,train
2,46,train
2,47,train
2,49,train
2,50,train
2,51,train
2,52,train
2,53,train
2,56,train
2,57,train
2,58,train
2,60,train
2,61,train
2,63,train
2,66,train
2,67,train
2,68,train
2,69,train
2,70,train
2,71,train
2,73,train
2,74,train
2,75,train
2,76,train
2,77,train
2,79,train
2,80,train
2,81,train
2,82,train
2,83,train
2,84,train
2,85,train
2,86,train
2,87,train
2,88,train
2,90,train
2,91,train
2,92,train
2,94,train
2,95,train
2,96,train
2,97,train
2,98,train
2,99,train
2,100,train
2,101,train
2,102,train
2,103,train
3,1,test
3,11,test
3,17,test
3,20,test
3,24,test
3,29,test
3,31,test
3,37,test
3,43,test
3,46,test
3,47,test
3,54,test
3,56,test
3,58,test
3,64,test
3,68,test
3,69,test
3,76,test
3,86,test
3,95,test
3,102,test
3,0,train
3,2,train
3,3,train
3,4,train
3,5,train
3,6,train
3,7,train
3,8,train
3,9,train
3,10,train
3,12,train
3,13,train
3,14,train
3,15,train
3,16,train
3,18,train
3,19,train
3,21,train
3,22,train
3,23,train
3,25,train
3,26,train
3,27,train
3,28,train
3,30,train
3,32,train
3,33,train
3,34,train
3,35,train
3,36,train
3,38,train
3,39,train
3,40,train
3,41,train
3,42,train
3,44,train
3,45,train
3,48,train
3,49,train
3,50,train
3,51,train
3,52,train
3,53,train
3,55,train
3,57,train
3,59,train
3,60,train
3,61,train
3,62,train
3,63,train
3,65,train
3,66,train
3,67,train
3,70,train
3,71,train
3,72,train
3,73,train
3,74,train
3,75,train
3,77,train
3,78,train
3,79,train
3,80,train
3,81,train
3,82,train
3,83,train
3,84,train
3,85,train
3,87,train
3,88,train
3,89,train
3,90,train
3,91,train
3,92,train
3,93,train
3,94,train
3,96,train
3,97,train
3,98,train
3,99,train
3,100,train
3,101,train
3,103,train
4,3,test
4,4,test
4,6,test
4,7,test
4,9,test
4,25,test
4,26,test
4,35,test
4,36,test
4,38,test
4,55,test
4,60,test
4,63,test
4,64,test
4,66,test
4,67,test
4,73,test
4,77,test
4,96,test
4,97,test
4,100,test
4,0,train
4,1,train
4,2,train
4,5,train
4,8,train
4,10,train
4,11,train
4,12,train
4,13,train
4,14,train
4,15,train
4,16,train
4,17,train
4,18,train
4,19,train
4,20,train
4,21,train
4,22,train
4,23,train
4,24,train
4,27,train
4,28,train
4,29,train
4,30,train
4,31,train
4,32,train
4,33,train
4,34,train
4,37,train
4,39,train
4,40,train
4,41,train
4,42,train
4,43,train
4,44,train
4,45,train
4,46,train
4,47,train
4,48,train
4,49,train
4,50,train
4,51,train
4,52,train
4,53,train
4,54,train
4,56,train
4,57,train
4,58,train
4,59,train
4,61,train
4,62,train
4,65,train
4,68,train
4,69,train
4,70,train
4,71,train
4,72,train
4,74,train
4,75,train
4,76,train
4,78,train
4,79,train
4,80,train
4,81,train
4,82,train
4,83,train
4,84,train
4,85,train
4,86,train
4,87,train
4,88,train
4,89,train
4,90,train
4,91,train
4,92,train
4,93,train
4,94,train
4,95,train
4,98,train
4,99,train
4,101,train
4,102,train
4,103,train
5,3,test
5,12,test
5,21,test
5,25,test
5,27,test
5,45,test
5,50,test
5,52,test
5,54,test
5,55,test
5,56,test
5,64,test
5,66,test
5,69,test
5,70,test
5,76,test
5,82,test
5,86,test
5,95,test
5,98,test
5,101,test
5,0,train
5,1,train
5,2,train
5,4,train
5,5,train
5,6,train
5,7,train
5,8,train
5,9,train
5,10,train
5,11,train
5,13,train
5,14,train
5,15,train
5,16,train
5,17,train
5,18,train
5,19,train
5,20,train
5,22,train
5,23,train
5,24,train
5,26,train
5,28,train
5,29,train
5,30,train
5,31,train
5,32,train
5,33,train
5,34,train
5,35,train
5,36,train
5,37,train
5,38,train
