repeat,sample_index,subset
1,2,test
1,7,test
1,9,test
1,18,test
1,20,test
1,21,test
1,23,test
1,25,test
1,29,test
1,30,test
1,34,test
1,40,test
1,44,test
1,48,test
1,52,test
1,53,test
1,54,test
1,64,test
1,65,test
1,72,test
1,76,test
1,80,test
1,83,test
1,86,test
1,94,test
1,100,test
1,102,test
1,110,test
1,122,test
1,129,test
1,137,test
1,140,test
1,143,test
1,144,test
1,145,test
1,149,test
1,155,test
1,177,test
1,186,test
1,188,test
1,189,test
1,206,test
1,207,test
1,209,test
1,0,train
1,1,train
1,3,train
1,4,train
1,5,train
1,6,train
1,8,train
1,10,train
1,11,train
1,12,train
1,13,train
1,14,train
1,15,train
1,16,train
1,17,train
1,19,train
1,22,train
1,24,train
1,26,train
1,27,train
1,28,train
1,31,train
1,32,train
1,33,train
1,35,train
1,36,train
1,37,train
1,38,train
1,39,train
1,41,train
1,42,train
1,43,train
1,45,train
1,46,train
1,47,train
1,49,train
1,50,train
1,51,train
1,55,train
1,56,train
1,57,train
1,58,train
1,59,train
1,60,train
1,61,train
1,62,train
1,63,train
1,66,train
1,67,train
1,68,train
1,69,train
1,70,train
1,71,train
1,73,train
1,74,train
1,75,train
1,77,train
1,78,train
1,79,train
1,81,train
1,82,train
1,84,train
1,85,train
1,87,train
1,88,train
1,89,train
1,90,train
1,91,train
1,92,train
1,93,train
1,95,train
1,96,train
1,97,train
1,98,train
1,99,train
1,101,train
1,103,train
1,104,train
1,105,train
1,106,train
1,107,train
1,108,train
1,109,train
1,111,train
1,112,train
1,113,train
1,114,train
1,115,train
1,116,train
1,117,train
1,118,train
1,119,train
1,120,train
1,121,train
1,123,train
1,124,train
1,125,train
1,126,train
1,127,train
1,128,train
1,130,train
1,131,train
1,132,train
1,133,train
1,134,train
1,135,train
1,136,train
1,138,train
1,139,train
1,141,train
1,142,train
1,146,train
1,147,train
1,148,train
1,150,train
1,151,train
1,152,train
1,153,train
1,154,train
1,156,train
1,157,train
1,158,train
1,159,train
1,160,train
1,161,train
1,162,train
1,163,train
1,164,train
1,165,train
1,166,train
1,167,train
1,168,train
1,169,train
1,170,train
1,171,train
1,172,train
1,173,train
1,174,train
1,175,train
1,176,train
1,178,train
1,179,train
1,180,train
1,181,train
1,182,train
1,183,train
1,184,train
1,185,train
1,187,train
1,190,train
1,191,train
1,192,train
1,193,train
1,194,train
1,195,train
1,196,train
1,197,train
1,198,train
1,199,train
1,200,train
1,201,train
1,202,train
1,203,train
1,204,train
1,205,train
1,208,train
1,210,train
1,211,train
1,212,train
1,213,train
1,214,train
1,215,train
1,216,train
2,13,test
2,14,test
2,17,test
2,20,test
2,23,test
2,25,test
2,40,test
2,42,test
2,50,test
2,52,test
2,54,test
2,55,test
2,56,test
2,66,test
2,68,test
2,85,test
2,92,test
2,96,test
2,97,test
2,100,test
2,101,test
2,102,test
2,105,test
2,115,test
2,119,test
2,127,test
2,128,test
2,129,test
2,151,test
2,156,test
2,161,test
2,168,test
2,170,test
2,177,test
2,179,test
2,181,test
2,182,test
2,183,test
2,188,test
2,192,test
2,193,test
2,199,test
2,209,test
2,210,test
2,0,train
2,1,train
2,2,train
2,3,train
2,4,train
2,5,train
2,6,train
2,7,train
2,8,train
2,9,train
2,10,train
2,11,train
2,12,train
2,15,train
2,16,train
2,18,train
2,19,train
2,21,train
2,22,train
2,24,train
2,26,train
2,27,train
2,28,train
2,29,train
2,30,train
2,31,train
2,32,train
2,33,train
2,34,train
2,35,train
2,36,train
2,37,train
2,38,train
2,39,train
2,41,train
2,43,train
2,44,train
2,45,train
2,46,train
2,47,train
2,48,train
2,49,train
2,51,train
2,53,train
2,57,train
2,58,train
2,59,train
2,60,train
2,61,train
2,62,train
2,63,train
2,64,train
2,65,train
2,67,train
2,69,train
2,70,train
2,71,train
2,72,train
2,73,train
2,74,train
2,75,train
2,76,train
2,77,train
2,78,train
2,79,train
2,80,train
2,81,train
2,82,train
2,83,train
2,84,train
2,86,train
2,87,train
2,88,train
2,89,train
2,90,train
2,91,train
2,93,train
2,94,train
2,95,train
2,98,train
2,99,train
2,103,train
2,104,train
2,106,train
2,107,train
2,108,train
2,109,train
2,110,train
2,111,train
